metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
73.0,2.0,2.0,"acero,hormigón,madera",Modelo B2H BS,Grupo CUNI,109500.0
105.0,1.0,2.0,madera,Casa Prefabricada 105,Norges Hus,
185.0,2.0,3.0,"acero,hormigón,madera",Zaero Masía Rustico,ZAEROWORKING SL,297400.0
130.0,2.0,3.0,madera,Riekko,Forest House,181300.0
161.0,2.0,4.0,madera,Ailo,Forest House,241500.0
104.0,1.0,1.0,madera,Casa Prefabricada 104,Norges Hus,
208.0,2.0,3.0,madera,Lux,Forest House,291200.0
100.0,1.0,2.0,madera,Kvartsi,Forest House,150000.0
105.0,2.0,3.0,"acero,hormigón",ESE,La casa ESE,147700.0
106.0,1.0,2.0,madera,Kaamos,Forest House,159000.0
120.0,2.0,3.0,madera,Vista 1-storey,Forest House,168000.0
164.0,2.0,3.0,"acero,hormigón",Pareados Designyou,ZAEROWORKING SL,189854.0
49.0,1.0,1.0,"acero,hormigón,madera",Modelo B-1HSP 49,Grupo CUNI,73500.0
80.0,1.0,2.0,madera,Syli,Forest House,112000.0
73.0,1.0,2.0,"acero,hormigón,madera",Modelo B-2HT 73,Grupo CUNI,109500.0
100.0,1.0,3.0,madera,Kommodori,Forest House,150000.0
120.0,2.0,4.0,madera,Halti,Forest House,180000.0
42.0,1.0,1.0,"acero,hormigón",Micro ESE,La casa ESE,87700.0
70.0,1.0,2.0,acero,Modelo India,Grupo Herrera,120000.0
193.0,2.0,3.0,madera,Lumikello,Forest House,269500.0
216.0,2.0,4.0,madera,Legenda,Casastar,
171.0,3.0,4.0,madera,Arucas,Madelar,
110.0,2.0,3.0,hormigón,Gama,Modunova,
47.0,1.0,2.0,madera,Sella,Alucasa,61480.0
19.0,1.0,1.0,acero,Pocket 2,KEU,40000.0
102.0,1.0,2.0,madera,Casa prefabricada 102,Norges Hus,
123.0,2.0,4.0,madera,Vegueta,Madelar,
30.0,1.0,1.0,acero,Tiny House 30,Proyectos y Modulares,35427.0
219.0,3.0,3.0,madera,WES206P2,WES,291500.0
59.0,1.0,2.0,madera,Soto 58,Madereco,
120.0,2.0,4.0,madera,Halti,Forest House,180000.0
73.0,1.0,3.0,"acero,hormigón,madera",Modelo B-2H HV 73,Grupo CUNI,109500.0
49.0,1.0,2.0,"acero,hormigón,madera",Modelo B-2H 49,Grupo CUNI,73500.0
64.0,1.0,2.0,madera,Tuuli,Forest House,89600.0
105.0,1.0,2.0,madera,Casa Prefabricada 105,Norges Hus,
74.0,1.0,3.0,"acero,hormigón,madera",Modelo B-3H 73,Grupo CUNI,111000.0
98.0,2.0,3.0,"acero,hormigón,madera",Modelo B-3H Tina,Grupo CUNI,147000.0
49.0,1.0,1.0,"acero,hormigón,madera",Modelo B-1HP 49,Grupo CUNI,73500.0
70.0,1.0,3.0,acero,Garden Pool,Grupo Herrera,89480.0
98.0,2.0,2.0,"acero,hormigón,madera",Modelo B-1H XL 98,Grupo CUNI,147000.0
130.0,2.0,2.0,madera,Ahto,Forest House,195000.0
138.0,2.0,3.0,madera,Suvi,Forest House,207000.0
160.0,2.0,4.0,madera,Mambo,Forest House,224000.0
161.0,2.0,4.0,madera,Ailo,Forest House,241500.0
179.0,2.0,3.0,madera,Kevät,Forest House,249900.0
73.0,1.0,2.0,"acero,hormigón,madera",Modelo B-2HT 73,Grupo CUNI,109500.0
